unified_id,SDCS,STATE_CODE_001,COUNTY_CODE_003,HIGHWAY_DISTRICT_002,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,BASE_HWY_NETWORK_012,TOLL_020,MAINTENANCE_021,FUNCTIONAL_CLASS_026,DESIGN_LOAD_031,MEDIAN_CODE_033,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,VERT_CLR_UND_REF_054A,LAT_UND_REF_055A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,OPR_RATING_METH_063,INV_RATING_METH_065,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,NATIONAL_NETWORK_110,PIER_PROTECTION_111,SCOUR_CRITICAL_113,LOWEST_RATING,PRE_CODE_ERA,WAS_RECONSTRUCTED,NFHL_FLD_ZONE,NFHL_SFHA
"('7260', '(48.64141667, -122.3632222)')",4.0,48,27,1.0,1,2,2,3,-999.0,1,6.0,1,1,2,2,2,2,4,1,1,2,6,3,2,2,2,9.0,8.0,8.0,8.0,1.0,1.0,8.0,7.0,-999.0,6,9,9,-999.0,-999.0,-999.0,-999.0,1.0,1,2,2,1,2,4,1,1,2,-999.0,9,8,2,2,-999.0,-999.0
"('0007260F', '(48.64833333, -122.3655556)')",4.0,48,36,1.0,1,2,2,3,-999.0,1,6.0,1,1,2,2,2,2,5,3,1,2,2,6,13,1,1,8.0,8.0,8.0,-999.0,1.0,1.0,8.0,7.0,7.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,3,2,2,1,2,4,1,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007260G', '(48.64822222, -122.3660833)')",4.0,48,36,1.0,1,2,2,3,-999.0,1,7.0,1,1,2,2,2,1,4,3,1,2,2,6,13,1,1,8.0,7.0,7.0,-999.0,1.0,1.0,7.0,7.0,8.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,1,2,2,1,2,4,1,1,2,-999.0,11,7,2,2,8.0,1.0
"('0007266A', '(46.21925, -123.3539722)')",4.0,48,33,4.0,4,2,1,3,-999.0,10,6.0,1,1,2,1,2,1,5,1,1,2,6,3,19,2,2,8.0,7.0,8.0,8.0,1.0,1.0,7.0,6.0,-999.0,6,9,7,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,1,2,4,1,1,2,-999.0,4,7,2,2,-999.0,-999.0
"('0007270A', '(47.71394444, -122.3275833)')",4.0,48,14,1.0,5,2,1,3,-999.0,6,6.0,1,1,2,2,2,2,5,3,1,6,2,3,19,1,1,8.0,8.0,8.0,-999.0,1.0,1.0,8.0,5.0,4.0,6,11,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,1,2,7,3,1,1,-999.0,11,8,2,2,8.0,1.0
"('0007270B', '(47.72313889, -122.3248333)')",4.0,48,14,1.0,5,2,2,3,-999.0,4,6.0,1,1,1,1,1,1,4,3,1,6,2,3,19,1,1,7.0,7.0,7.0,-999.0,1.0,1.0,7.0,4.0,4.0,6,11,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,2,1,2,2,1,1,1,-999.0,11,7,2,2,8.0,1.0
"('0007270C', '(47.74098889, -122.3287222)')",4.0,48,14,1.0,1,2,2,3,-999.0,2,6.0,1,1,2,2,2,2,5,3,1,2,2,3,19,1,1,8.0,7.0,8.0,-999.0,1.0,1.0,7.0,5.0,8.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,3,2,2,1,2,10,1,1,2,-999.0,11,7,2,2,8.0,1.0
"('0007270D', '(47.74095833, -122.329025)')",4.0,48,14,1.0,1,2,2,3,-999.0,2,6.0,1,1,2,2,2,2,5,3,1,2,2,3,19,1,1,8.0,7.0,8.0,-999.0,1.0,1.0,7.0,7.0,10.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,1,2,2,1,2,10,1,1,2,-999.0,11,7,2,2,8.0,1.0
"('7270', '(47.73408611, -122.3253944)')",4.0,48,14,1.0,3,2,2,3,-999.0,4,6.0,1,1,1,1,1,1,5,3,1,6,2,3,19,1,1,8.0,8.0,8.0,-999.0,1.0,1.0,8.0,3.0,4.0,6,11,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,2,1,2,4,1,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007299A', '(47.75575, -122.3295)')",4.0,48,14,1.0,1,2,2,3,-999.0,2,6.0,1,1,2,2,2,2,5,3,1,2,2,3,19,1,1,8.0,8.0,8.0,-999.0,1.0,1.0,8.0,5.0,4.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,3,2,2,1,2,10,1,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007299B', '(47.75575, -122.3298056)')",4.0,48,14,1.0,1,2,2,3,-999.0,2,6.0,1,1,2,2,2,2,5,3,1,2,2,3,19,1,1,8.0,8.0,8.0,-999.0,1.0,1.0,8.0,5.0,5.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,1,2,2,1,2,6,1,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007299C', '(47.76325, -122.3243056)')",4.0,48,14,1.0,5,2,1,3,-999.0,5,6.0,1,1,1,1,1,1,5,3,1,6,2,3,19,1,1,7.0,8.0,8.0,-999.0,1.0,1.0,8.0,10.0,4.0,6,11,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,1,2,2,1,1,1,-999.0,11,7,2,2,8.0,1.0
"('0007326A', '(47.23313889, -122.4337778)')",4.0,48,25,3.0,1,2,2,3,-999.0,2,6.0,1,1,2,2,2,2,5,3,1,2,5,3,19,1,1,7.0,8.0,8.0,-999.0,1.0,1.0,8.0,10.0,5.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,3,3,2,1,2,4,1,1,2,-999.0,11,7,2,2,8.0,1.0
"('0007326B', '(47.23327778, -122.434)')",4.0,48,25,3.0,1,2,2,3,-999.0,2,6.0,1,2,2,2,2,2,5,3,1,2,5,3,19,1,1,8.0,7.0,8.0,-999.0,-999.0,-999.0,6.0,5.0,4.0,6,11,9,-999.0,-999.0,-999.0,-999.0,1.0,1,2,2,1,2,4,1,1,2,-999.0,11,7,2,2,8.0,1.0
"('0007326C', '(47.23277778, -122.4331389)')",4.0,48,25,3.0,1,7,1,3,-999.0,2,6.0,1,1,2,2,2,2,5,3,1,2,2,3,19,1,1,8.0,8.0,9.0,-999.0,1.0,1.0,8.0,7.0,10.0,6,11,7,-999.0,-999.0,-999.0,-999.0,-999.0,2,2,2,1,2,2,1,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007326D', '(47.23316111, -122.4319167)')",4.0,48,25,3.0,1,7,1,3,-999.0,2,6.0,1,1,2,2,2,2,5,3,1,2,2,3,19,1,1,7.0,7.0,8.0,-999.0,1.0,1.0,7.0,6.0,10.0,6,11,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,2,2,1,2,2,1,1,2,-999.0,11,7,2,2,8.0,1.0
"('7326', '(47.23275, -122.433)')",4.0,48,25,3.0,3,2,2,3,-999.0,3,6.0,1,1,2,2,2,2,5,3,1,2,2,3,19,1,1,8.0,8.0,8.0,-999.0,1.0,1.0,8.0,5.0,5.0,6,11,7,-999.0,-999.0,-999.0,-999.0,-999.0,2,2,2,1,2,2,1,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007326F', '(47.23283333, -122.4306667)')",4.0,48,25,3.0,3,7,1,3,-999.0,2,6.0,1,1,2,2,2,2,5,3,1,2,3,2,2,3,3,8.0,8.0,8.0,-999.0,-999.0,-999.0,8.0,10.0,6.0,6,11,7,-999.0,-999.0,-999.0,-999.0,-999.0,2,2,2,1,2,2,1,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007327A', '(47.00283333, -123.3953333)')",4.0,48,10,3.0,2,2,2,3,-999.0,3,6.0,1,1,2,1,2,2,5,3,1,2,3,6,13,3,3,8.0,8.0,8.0,-999.0,1.0,1.0,8.0,3.0,8.0,6,11,9,-999.0,-999.0,-999.0,-999.0,2.0,3,2,2,1,2,7,3,1,2,-999.0,11,8,2,2,8.0,1.0
"('0007327B', '(47.00302778, -123.3954444)')",4.0,48,10,3.0,2,2,2,3,-999.0,8,6.0,1,1,2,1,2,2,5,3,1,2,3,6,13,3,3,7.0,7.0,8.0,-999.0,1.0,1.0,7.0,5.0,7.0,6,11,9,-999.0,-999.0,-999.0,-999.0,2.0,1,2,2,1,2,7,3,1,2,-999.0,11,7,2,2,8.0,1.0
"('0007342A', '(47.43191667, -122.8759444)')",4.0,48,20,3.0,3,2,1,3,-999.0,10,6.0,1,1,1,1,2,1,5,1,1,6,6,8,2,2,2,8.0,8.0,6.0,7.0,2.0,2.0,6.0,3.0,-999.0,6,7,9,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,1,1,9,7,1,1,1,-999.0,4,6,2,2,1.0,2.0
"('0007346A', '(47.71, -124.4111111)')",4.0,48,13,3.0,2,2,2,3,-999.0,8,1.0,1,1,3,3,2,2,5,1,1,2,6,2,12,2,2,-999.0,-999.0,-999.0,8.0,-999.0,-999.0,6.0,-999.0,-999.0,6,9,7,-999.0,-999.0,-999.0,-999.0,-999.0,2,3,2,1,11,11,7,10,2,-999.0,9,6,2,2,8.0,1.0
