unified_id,PGA,S1,SDS,FPGA,MACRO_AGE_MIN,MIN_VERT_CLR_010,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,HORR_CLR_MT_047,VERT_CLR_OVER_MT_053,VERT_CLR_UND_054B,OPERATING_RATING_064,DETOUR_KILOS_019,YEAR_BUILT_027,YEAR_BUILT_027_DIFF,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,APPR_WIDTH_MT_032,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,APPR_SPANS_046,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,INSPECT_FREQ_MONTHS_091,YEAR_RECONSTRUCTED_106,YEAR_RECONSTRUCTED_106_DIFF,PERCENT_ADT_TRUCK_109,FUTURE_ADT_114,DECK_AREA,NFHL_STATIC_BFE,PGA_2475,SA02_2475,SA10_2475
"('      1W', '(48.29745556, -122.6078139)')",0.603608326205422,0.2480382310810619,0.5562895141109413,-0.6148461766109395,-0.3102483317814885,-999.0,-999.0,-999.0,-1.3851552774920268,-999.0,-0.5807036957965714,-0.374570353495433,-0.3860131363148203,1.2519601864532346,-1.2519601864532324,-1.0983467912181903,-0.4543899726601521,-0.5642951278600475,-1.2403492576811856,-0.5864854038507235,-0.3765479594546665,-0.1518712284672707,0.1672282508073203,-0.2494448351053595,-0.9737216904340624,-0.8194815223612872,-0.4238662494446721,-0.4115182771344981,-999.0,0.1220809736371834,-0.5655155633154371,-0.2624150144392811,5.193953847997014,0.1848035018841416,0.2468524041379661,0.0516642207594537
"('        ', '(47.769275, -122.707925)')",-0.180243599095973,0.2480382310810619,0.6027984067259741,-0.6148461766109395,-0.3102483317814885,-999.0,-999.0,-999.0,-0.2327634605772458,-999.0,-0.5807036957965714,-0.436116498631702,-0.3496420098987786,1.4954081280023663,-1.495408128002364,-0.2709244192963464,-0.4543899726601521,-0.5647413210955697,-0.244005104447515,-0.5864854038507235,-0.3765479594546665,-0.1518712284672707,0.0392993634261414,-0.286156759738161,-0.1012869403578508,-0.1799576416744159,-0.4238662494446721,-0.4115182771344981,-999.0,-1.2038067348413777,-0.5658285491428298,-0.2301526930002025,-0.1922351453013102,0.6128869094057685,0.6873481985893989,0.3031985036020521
"('        ', '(47.56759167, -122.5517028)')",1.4765343339274302,0.9131707341262252,1.850787025229351,-0.6148461766109395,-0.3102483317814885,-999.0,-999.0,-999.0,-1.488047404002275,-999.0,0.8819624126994192,-0.975828848288213,-0.3860131363148203,-0.8579219736392407,0.8579219736392426,-1.0983467912181903,0.6063569753930484,-0.5647413210955697,-1.206574879605468,-0.5864854038507235,-0.0101406975219474,0.3321075112786231,-0.2283413351739563,-0.2513437277587803,-1.0516176502622958,-1.0780124528517248,-0.4238662494446721,-0.4115182771344981,-999.0,-0.9386291931456654,-0.5658598477255691,-0.2831789694069384,-0.1922351453013102,1.396030170474766,1.4857559946227834,1.826117387530192
"('00000000', '(47.25279444, -124.178075)')",2.2069418097764584,2.5987805021173904,1.6337455263591982,-0.6148461766109395,-0.3102483317814885,-999.0,-999.0,-999.0,-0.2327634605772458,-999.0,-0.5807036957965714,-0.8716738334422195,-0.3756213859102369,0.0347204787075757,-0.0347204787075737,-0.2709244192963464,-0.4543899726601521,-0.5489014612345312,-0.244005104447515,0.192318356289019,-0.193344328488307,-0.1518712284672707,0.0510822872638816,-0.0950015659604706,-0.1012869403578508,-0.1663507505959716,-0.4238662494446721,-0.4115182771344981,-999.0,0.7850248278764639,-0.553809893370949,-0.133553505017279,-999.0,2.1643887378221005,1.904540177935763,1.5427886073564216
"('        ', '(47.98571667, -122.2271222)')",0.1671453223444183,-0.1164179349710818,0.0446916953455811,-0.6148461766109395,-999.0,-999.0,-999.0,-999.0,0.8784715057334355,-999.0,-0.5807036957965714,-0.8716738334422195,-0.3860131363148203,0.8056389602798263,-0.8056389602798242,1.3839203245473413,-0.4543899726601521,-0.5634027413890031,0.6679031035968611,-0.5864854038507235,6.035579124367917,-0.1518712284672707,-0.3562702225551351,0.8303921204732492,0.7399894257870674,0.513993803326232,-0.4238662494446721,-0.4115182771344981,-999.0,0.1220809736371834,-0.5647330987469552,0.6336771249420984,-0.1922351453013102,-0.3152049298082446,-0.2500926344094406,-0.047468704843861
"('        ', '(47.697975, -122.6195)')",0.5947009179633607,0.2844838476862763,0.7423250845710724,-0.6148461766109395,-0.3102483317814885,-999.0,-999.0,-999.0,-1.1176357485653814,-999.0,-0.5807036957965714,-2.0173789967481466,-0.3080750082804451,-1.7099897690612018,1.7099897690612036,-0.2709244192963464,-0.4543899726601521,-0.5651875143310919,-0.9701542330754446,-0.5864854038507235,0.173062933444412,-0.1518712284672707,-0.3663698715589124,-0.3659102511818332,-0.7711921948806563,-0.8466953045181754,-0.4238662494446721,2.3851017081202603,1.763654101622267,-1.2038067348413777,-0.5659850420565262,-0.2958744100096024,5.19341592839317,1.396030170474766,1.4857559946227834,1.826117387530192
"('00000000', '(47.24963889, -124.1740556)')",2.2069418097764584,2.5987805021173904,1.6337455263591982,-0.6148461766109395,-0.3102483317814885,-999.0,-999.0,-999.0,-0.7472240931284875,-999.0,-0.5807036957965714,-0.8716738334422195,-0.3704255107079452,-0.4116007474658325,0.4116007474658344,-0.2709244192963464,-0.4543899726601521,-0.5652767529781964,-0.6661848303939858,0.9711221164287616,0.173062933444412,-0.1518712284672707,-0.3209214510419147,-0.2867897239559679,-0.4751875475333701,-0.4384885721648531,-0.4238662494446721,-0.4115182771344981,-999.0,-1.2038067348413777,-0.5662980278839189,-0.247580684028588,-999.0,2.1643887378221005,1.904540177935763,1.5427886073564216
"('        ', '(48.21215, -121.9331306)')",-0.9373732996711848,-1.0184469459501384,-0.8777346748525674,0.8420158185496891,-0.3102483317814885,-999.0,-999.0,-999.0,-1.488047404002275,-999.0,-0.5807036957965714,-0.8716738334422195,-0.3340543842919035,-1.0607952582635172,1.0607952582635192,-1.0983467912181903,-0.4543899726601521,-0.5647413210955697,-1.2741236357569032,-0.5864854038507235,-0.3765479594546665,0.3321075112786231,-0.0633804014455941,-0.2899545450450025,-1.0516176502622958,-1.0780124528517248,-0.4238662494446721,-0.4115182771344981,-999.0,-0.1430965680585288,-0.5658285491428298,-0.2905169164712469,-0.1922351453013102,-1.0310887869406289,-0.9942578821400184,-1.1314061682671102
"('00000000', '(47.29477778, -124.0662222)')",2.108960319113784,2.47122084399914,1.6569999726667155,-0.6148461766109395,-0.3102483317814885,-999.0,-999.0,-999.0,-0.7472240931284875,-999.0,-0.5807036957965714,-0.8811424711554917,-0.3600337603033619,-0.4116007474658325,0.4116007474658344,-0.2709244192963464,-0.4543899726601521,-0.5489014612345312,-0.6661848303939858,-0.5864854038507235,-0.193344328488307,-0.1518712284672707,-0.3209214510419147,-0.38300028506262,-0.4907667394990169,-0.5201299186355177,-0.4238662494446721,-0.4115182771344981,-999.0,2.773856390594305,-0.5529335330542493,-0.289554562757895,-999.0,1.9452668571580007,1.763911392295299,1.371136569138129
"('00000000', '(47.35775278, -123.9907278)')",2.037701053177293,2.3709953983348,1.6725029368717264,-0.6148461766109395,-0.3102483317814885,-999.0,-999.0,-999.0,-0.2327634605772458,-999.0,-0.5807036957965714,1.670655392571346,-0.0119101217498195,1.0896615587538134,-1.0896615587538112,-0.2709244192963464,-0.4543899726601521,-0.5386390168175202,-0.244005104447515,-0.5864854038507235,-0.3765479594546665,-0.1518712284672707,0.1638617011393945,-0.2412163002738696,0.0856633632299087,0.2282490906789062,-0.4238662494446721,-0.4115182771344981,-999.0,2.1109125363550247,-0.5444829157146457,-0.1745034159235377,-999.0,1.8662940446665337,1.6959187348961904,1.314246071308549
